name,sub_name,sub_name_sub,roman,sub_roman
東津軽郡,ひがしつがるぐん,ひがしつがる,Higashitsugaru,Higasitugaru
平内町,ひらないまち,ひらない,Hiranai,Hiranai
今別町,いまべつまち,いまべつ,Imabetsu,Imabetu
蓬田村,よもぎたむら,よもぎた,Yomogita,Yomogita
外ヶ浜町,そとがはままち,そとがはま,Sotogahama,Sotogahama
西津軽郡,にしつがるぐん,にしつがる,Nishitsugaru,Nisitugaru
鰺ヶ沢町,あじがさわまち,あじがさわ,Ajigasawa,Azigasawa
深浦町,ふかうらまち,ふかうら,Fukaura,Hukaura
中津軽郡,なかつがるぐん,なかつがる,Nakatsugaru,Nakatugaru
西目屋村,にしめやむら,にしめや,Nishimeya,Nisimeya
南津軽郡,みなみつがるぐん,みなみつがる,Minamitsugaru,Minamitugaru
藤崎町,ふじさきまち,ふじさき,Fujisaki,Huzisaki
大鰐町,おおわにまち,おおわに,Owani,owani
田舎館村,いなかだてむら,いなかだて,Inakadate,Inakadate
北津軽郡,きたつがるぐん,きたつがる,Kitatsugaru,Kitatugaru
板柳町,いたやなぎまち,いたやなぎ,Itayanagi,Itayanagi
鶴田町,つるたまち,つるた,Tsuruta,Turuta
中泊町,なかどまりまち,なかどまり,Nakadomari,Nakadomari
上北郡,かみきたぐん,かみきた,Kamikita,Kamikita
野辺地町,のへじまち,のへじ,Noheji,Nohezi
七戸町,しちのへまち,しちのへ,Shichinohe,Sitinohe
六戸町,ろくのへまち,ろくのへ,Rokunohe,Rokunohe
横浜町,よこはままち,よこはま,Yokohama,Yokohama
東北町,とうほくまち,とうほく,Tohoku,Tohoku
六ヶ所村,ろっかしょむら,ろっかしょ,Rokkasho,Rokkasyo
おいらせ町,おいらせちょう,おいらせ,Oirase,Oirase
下北郡,しもきたぐん,しもきた,Shimokita,Simokita
大間町,おおままち,おおま,oma,oma
東通村,ひがしどおりむら,ひがしどおり,Higashidori,Higasidori
風間浦村,かざまうらむら,かざまうら,Kazamaura,Kazamaura
佐井村,さいむら,さい,Sai,Sai
三戸郡,さんのへぐん,さんのへ,Sannohe,Sannohe
三戸町,さんのへまち,さんのへ,Sannohe,Sannohe
五戸町,ごのへまち,ごのへ,Gonohe,Gonohe
田子町,たつこまち,たつこ,Tatsuko,Tatuko
南部町,なんぶまち,なんぶ,Nanbu,Nanbu
階上町,はしかみちょう,はしかみ,Hashikami,Hasikami
新郷村,しんごうむら,しんごう,Shingo,Singo
岩手県,いわてけん,いわて,Iwate,Iwate
盛岡市,もりおかし,もりおか,Morioka,Morioka
宮古市,みやこし,みやこ,Miyako,Miyako
大船渡市,おおふなとし,おおふなと,ofunato,ohunato
花巻市,はなまきし,はなまき,Hanamaki,Hanamaki
北上市,きたかみし,きたかみ,Kitakami,Kitakami
久慈市,くじし,くじ,Kuji,Kuzi
遠野市,とおのし,とおの,Tono,Tono
一関市,いちのせきし,いちのせき,Ichinoseki,Itinoseki
陸前高田市,りくぜんたかたし,りくぜんたかた,Rikuzentakata,Rikuzentakata
釜石市,かまいしし,かまいし,Kamaishi,Kamaisi
二戸市,にのへし,にのへ,Ninohe,Ninohe
八幡平市,はちまんたいし,はちまんたい,Hachimantai,Hatimantai
奥州市,おうしゅうし,おうしゅう,oshu,osyu
岩手郡,いわてぐん,いわて,Iwate,Iwate
雫石町,しずくいしちょう,しずくいし,Shizukuishi,Sizukuisi
葛巻町,くずまきまち,くずまき,Kuzumaki,Kuzumaki
岩手町,いわてまち,いわて,Iwate,Iwate
滝沢村,たきざわむら,たきざわ,Takizawa,Takizawa
紫波郡,しわぐん,しわ,Shiwa,Siwa
紫波町,しわちょう,しわ,Shiwa,Siwa
矢巾町,やはばちょう,やはば,Yahaba,Yahaba
和賀郡,わがぐん,わが,Waga,Waga
西和賀町,にしわがまち,にしわが,Nishiwaga,Nisiwaga
胆沢郡,いさわぐん,いさわ,Isawa,Isawa
金ヶ崎町,かねがさきちょう,かねがさき,Kanegasaki,Kanegasaki
西磐井郡,にしいわいぐん,にしいわい,Nishiiwai,Nisiiwai
平泉町,ひらいずみちょう,ひらいずみ,Hiraizumi,Hiraizumi
気仙郡,けせんぐん,けせん,Kesen,Kesen
住田町,すみたちょう,すみた,Sumita,Sumita
上閉伊郡,かみへいぐん,かみへい,Kamihei,Kamihei
大槌町,おおつちちょう,おおつち,otsuchi,otuti
下閉伊郡,しもへいぐん,しもへい,Shimohei,Simohei
山田町,やまだまち,やまだ,Yamada,Yamada
岩泉町,いわいずみちょう,いわいずみ,Iwaizumi,Iwaizumi
田野畑村,たのはたむら,たのはた,Tanohata,Tanohata
普代村,ふだいむら,ふだい,Fudai,Hudai
九戸郡,くのへぐん,くのへ,Kunohe,Kunohe
軽米町,かるまいまち,かるまい,Karumai,Karumai
野田村,のだむら,のだ,Noda,Noda
九戸村,くのへむら,くのへ,Kunohe,Kunohe
洋野町,ひろのちょう,ひろの,Hirono,Hirono
二戸郡,にのへぐん,にのへ,Ninohe,Ninohe
一戸町,いちのへまち,いちのへ,Ichinohe,Itinohe
宮城県,みやぎけん,みやぎ,Miyagi,Miyagi
仙台市,せんだいし,せんだい,Sendai,Sendai
青葉区,あおばく,あおば,Aoba,Aoba
宮城野区,みやぎのく,みやぎの,Miyagino,Miyagino
若林区,わかばやしく,わかばやし,Wakabayashi,Wakabayasi
太白区,たいはくく,たいはく,Taihaku,Taihaku
泉区,いずみく,いずみ,Izumi,Izumi
石巻市,いしのまきし,いしのまき,Ishinomaki,Isinomaki
塩竈市,しおがまし,しおがま,Shiogama,Siogama
気仙沼市,けせんぬまし,けせんぬま,Kesennuma,Kesennuma
白石市,しろいしし,しろいし,Shiroishi,Siroisi
名取市,なとりし,なとり,Natori,Natori
角田市,かくだし,かくだ,Kakuda,Kakuda
多賀城市,たがじょうし,たがじょう,Tagajo,Tagazyo
岩沼市,いわぬまし,いわぬま,Iwanuma,Iwanuma
登米市,とめし,とめ,Tome,Tome
栗原市,くりはらし,くりはら,Kurihara,Kurihara
東松島市,ひがしまつしまし,ひがしまつしま,Higashimatsushima,Higasimatusima
大崎市,おおさきし,おおさき,osaki,osaki
刈田郡,かったぐん,かった,Katta,Katta
蔵王町,ざおうまち,ざおう,Zao,Zao
七ヶ宿町,しちかしゅくまち,しちかしゅく,Shichikashuku,Sitikasyuku
柴田郡,しばたぐん,しばた,Shibata,Sibata
大河原町,おおがわらまち,おおがわら,ogawara,ogawara
村田町,むらたまち,むらた,Murata,Murata
柴田町,しばたまち,しばた,Shibata,Sibata
川崎町,かわさきまち,かわさき,Kawasaki,Kawasaki
伊具郡,いぐぐん,いぐ,Igu,Igu
丸森町,まるもりまち,まるもり,Marumori,Marumori
亘理郡,わたりぐん,わたり,Watari,Watari
亘理町,わたりちょう,わたり,Watari,Watari
山元町,やまもとちょう,やまもと,Yamamoto,Yamamoto
宮城郡,みやぎぐん,みやぎ,Miyagi,Miyagi
松島町,まつしままち,まつしま,Matsushima,Matusima
七ヶ浜町,しちがはままち,しちがはま,Shichigahama,Sitigahama
利府町,りふちょう,りふ,Rifu,Rihu
黒川郡,くろかわぐん,くろかわ,Kurokawa,Kurokawa
大和町,たいわちょう,たいわ,Taiwa,Taiwa
大郷町,おおさとちょう,おおさと,osato,osato
富谷町,とみやまち,とみや,Tomiya,Tomiya
大衡村,おおひらむら,おおひら,ohira,ohira
加美郡,かみぐん,かみ,Kami,Kami
色麻町,しかまちょう,しかま,Shikama,Sikama
加美町,かみまち,かみ,Kami,Kami
遠田郡,とおだぐん,とおだ,Toda,Toda
涌谷町,わくやちょう,わくや,Wakuya,Wakuya
美里町,みさとまち,みさと,Misato,Misato
牡鹿郡,おしかぐん,おしか,Oshika,Osika
女川町,おながわちょう,おながわ,Onagawa,Onagawa
本吉郡,もとよしぐん,もとよし,Motoyoshi,Motoyosi
南三陸町,みなみさんりくちょう,みなみさんりく,Minamisanriku,Minamisanriku
秋田県,あきたけん,あきた,Akita,Akita
秋田市,あきたし,あきた,Akita,Akita
能代市,のしろし,のしろ,Noshiro,Nosiro
横手市,よこてし,よこて,Yokote,Yokote
大館市,おおだてし,おおだて,odate,odate
男鹿市,おがし,おが,Oga,Oga
湯沢市,ゆざわし,ゆざわ,Yuzawa,Yuzawa
鹿角市,かづのし,かづの,Kazuno,Kazuno
由利本荘市,ゆりほんじょうし,ゆりほんじょう,Yurihonjo,Yurihonzyo
潟上市,かたがみし,かたがみ,Katagami,Katagami
大仙市,だいせんし,だいせん,Daisen,Daisen
北秋田市,きたあきたし,きたあきた,Kitaakita,Kitaakita
にかほ市,にかほし,にかほ,Nikaho,Nikaho
仙北市,せんぼくし,せんぼく,Senboku,Senboku
鹿角郡,かづのぐん,かづの,Kazuno,Kazuno
小坂町,こさかまち,こさか,Kosaka,Kosaka
北秋田郡,きたあきたぐん,きたあきた,Kitaakita,Kitaakita
上小阿仁村,かみこあにむら,かみこあに,Kamikoani,Kamikoani
山本郡,やまもとぐん,やまもと,Yamamoto,Yamamoto
藤里町,ふじさとまち,ふじさと,Fujisato,Huzisato
三種町,みたねちょう,みたね,Mitane,Mitane
八峰町,はっぽうちょう,はっぽう,Happo,Happo
南秋田郡,みなみあきたぐん,みなみあきた,Minamiakita,Minamiakita
五城目町,ごじょうめまち,ごじょうめ,Gojome,Gozyome
八郎潟町,はちろうがたまち,はちろうがた,Hachirogata,Hatirogata
井川町,いかわまち,いかわ,Ikawa,Ikawa
大潟村,おおがたむら,おおがた,ogata,ogata
仙北郡,せんぼくぐん,せんぼく,Senboku,Senboku
美郷町,みさとちょう,みさと,Misato,Misato
雄勝郡,おがちぐん,おがち,Ogachi,Ogati
羽後町,うごまち,うご,Ugo,Ugo
東成瀬村,ひがしなるせむら,ひがしなるせ,Higashinaruse,Higasinaruse
山形県,やまがたけん,やまがた,Yamagata,Yamagata
山形市,やまがたし,やまがた,Yamagata,Yamagata
米沢市,よねざわし,よねざわ,Yonezawa,Yonezawa
鶴岡市,つるおかし,つるおか,Tsuruoka,Turuoka
酒田市,さかたし,さかた,Sakata,Sakata
新庄市,しんじょうし,しんじょう,Shinjo,Sinzyo
寒河江市,さがえし,さがえ,Sagae,Sagae
上山市,かみのやまし,かみのやま,Kaminoyama,Kaminoyama
村山市,むらやまし,むらやま,Murayama,Murayama
長井市,ながいし,ながい,Nagai,Nagai
天童市,てんどうし,てんどう,Tendo,Tendo
東根市,ひがしねし,ひがしね,Higashine,Higasine
尾花沢市,おばなざわし,おばなざわ,Obanazawa,Obanazawa
南陽市,なんようし,なんよう,Nanyo,Nan'yo
東村山郡,ひがしむらやまぐん,ひがしむらやま,Higashimurayama,Higasimurayama
山辺町,やまのべまち,やまのべ,Yamanobe,Yamanobe
中山町,なかやままち,なかやま,Nakayama,Nakayama
西村山郡,にしむらやまぐん,にしむらやま,Nishimurayama,Nisimurayama
河北町,かほくちょう,かほく,Kahoku,Kahoku
西川町,にしかわまち,にしかわ,Nishikawa,Nisikawa
朝日町,あさひまち,あさひ,Asahi,Asahi
大江町,おおえまち,おおえ,oe,oe
北村山郡,きたむらやまぐん,きたむらやま,Kitamurayama,Kitamurayama
大石田町,おおいしだまち,おおいしだ,oishida,oisida
最上郡,もがみぐん,もがみ,Mogami,Mogami
金山町,かねやままち,かねやま,Kaneyama,Kaneyama
最上町,もがみまち,もがみ,Mogami,Mogami
舟形町,ふながたまち,ふながた,Funagata,Hunagata
真室川町,まむろがわまち,まむろがわ,Mamurogawa,Mamurogawa
大蔵村,おおくらむら,おおくら,okura,okura
鮭川村,さけがわむら,さけがわ,Sakegawa,Sakegawa
戸沢村,とざわむら,とざわ,Tozawa,Tozawa
東置賜郡,ひがしおきたまぐん,ひがしおきたま,Higashiokitama,Higasiokitama
高畠町,たかはたまち,たかはた,Takahata,Takahata
川西町,かわにしまち,かわにし,Kawanishi,Kawanisi
西置賜郡,にしおきたまぐん,にしおきたま,Nishiokitama,Nisiokitama
小国町,おぐにまち,おぐに,Oguni,Oguni
白鷹町,しらたかまち,しらたか,Shirataka,Sirataka
飯豊町,いいでまち,いいで,Iide,Iide
東田川郡,ひがしたがわぐん,ひがしたがわ,Higashitagawa,Higasitagawa
三川町,みかわまち,みかわ,Mikawa,Mikawa
庄内町,しょうないまち,しょうない,Shonai,Syonai
飽海郡,あくみぐん,あくみ,Akumi,Akumi
遊佐町,ゆざまち,ゆざ,Yuza,Yuza
福島県,ふくしまけん,ふくしま,Fukushima,Hukusima
福島市,ふくしまし,ふくしま,Fukushima,Hukusima
会津若松市,あいづわかまつし,あいづわかまつ,Aizuwakamatsu,Aizuwakamatu
郡山市,こおりやまし,こおりやま,Koriyama,Koriyama
いわき市,いわきし,いわき,Iwaki,Iwaki
白河市,しらかわし,しらかわ,Shirakawa,Sirakawa
須賀川市,すかがわし,すかがわ,Sukagawa,Sukagawa
喜多方市,きたかたし,きたかた,Kitakata,Kitakata
相馬市,そうまし,そうま,Soma,Soma
二本松市,にほんまつし,にほんまつ,Nihonmatsu,Nihonmatu
田村市,たむらし,たむら,Tamura,Tamura
南相馬市,みなみそうまし,みなみそうま,Minamisoma,Minamisoma
伊達市,だてし,だて,Date,Date
本宮市,もとみやし,もとみや,Motomiya,Motomiya
伊達郡,だてぐん,だて,Date,Date
桑折町,こおりまち,こおり,Kori,Kori
国見町,くにみまち,くにみ,Kunimi,Kunimi
川俣町,かわまたまち,かわまた,Kawamata,Kawamata
安達郡,あだちぐん,あだち,Adachi,Adati
大玉村,おおたまむら,おおたま,otama,otama
岩瀬郡,いわせぐん,いわせ,Iwase,Iwase
鏡石町,かがみいしまち,かがみいし,Kagamiishi,Kagamiisi
天栄村,てんえいむら,てんえい,Tenei,Ten'ei
南会津郡,みなみあいづぐん,みなみあいづ,Minamiaizu,Minamiaizu
下郷町,しもごうまち,しもごう,Shimogo,Simogo
檜枝岐村,ひのえまたむら,ひのえまた,Hinoemata,Hinoemata
只見町,ただみまち,ただみ,Tadami,Tadami
南会津町,みなみあいづまち,みなみあいづ,Minamiaizu,Minamiaizu
耶麻郡,やまぐん,やま,Yama,Yama
北塩原村,きたしおばらむら,きたしおばら,Kitashiobara,Kitasiobara
西会津町,にしあいづまち,にしあいづ,Nishiaizu,Nisiaizu
磐梯町,ばんだいまち,ばんだい,Bandai,Bandai
猪苗代町,いなわしろまち,いなわしろ,Inawashiro,Inawasiro
河沼郡,かわぬまぐん,かわぬま,Kawanuma,Kawanuma
会津坂下町,あいづばんげまち,あいづばんげ,Aizubange,Aizubange
湯川村,ゆがわむら,ゆがわ,Yugawa,Yugawa
柳津町,やないづまち,やないづ,Yanaizu,Yanaizu
大沼郡,おおぬまぐん,おおぬま,onuma,onuma
三島町,みしままち,みしま,Mishima,Misima
金山町,かねやままち,かねやま,Kaneyama,Kaneyama
昭和村,しょうわむら,しょうわ,Showa,Syowa
会津美里町,あいづみさとまち,あいづみさと,Aizumisato,Aizumisato
西白河郡,にししらかわぐん,にししらかわ,Nishishirakawa,Nisisirakawa
西郷村,にしごうむら,にしごう,Nishigo,Nisigo
泉崎村,いずみざきむら,いずみざき,Izumizaki,Izumizaki
中島村,なかじまむら,なかじま,Nakajima,Nakazima
矢吹町,やぶきまち,やぶき,Yabuki,Yabuki
東白川郡,ひがししらかわぐん,ひがししらかわ,Higashishirakawa,Higasisirakawa
棚倉町,たなぐらまち,たなぐら,Tanagura,Tanagura
矢祭町,やまつりまち,やまつり,Yamatsuri,Yamaturi
塙町,はなわまち,はなわ,Hanawa,Hanawa
鮫川村,さめがわむら,さめがわ,Samegawa,Samegawa
石川郡,いしかわぐん,いしかわ,Ishikawa,Isikawa
石川町,いしかわまち,いしかわ,Ishikawa,Isikawa
玉川村,たまかわむら,たまかわ,Tamakawa,Tamakawa
平田村,ひらたむら,ひらた,Hirata,Hirata
浅川町,あさかわまち,あさかわ,Asakawa,Asakawa
古殿町,ふるどのまち,ふるどの,Furudono,Hurudono
田村郡,たむらぐん,たむら,Tamura,Tamura
三春町,みはるまち,みはる,Miharu,Miharu
小野町,おのまち,おの,Ono,Ono
双葉郡,ふたばぐん,ふたば,Futaba,Hutaba
広野町,ひろのまち,ひろの,Hirono,Hirono
楢葉町,ならはまち,ならは,Naraha,Naraha
富岡町,とみおかまち,とみおか,Tomioka,Tomioka
川内村,かわうちむら,かわうち,Kawauchi,Kawauti
大熊町,おおくままち,おおくま,okuma,okuma
双葉町,ふたばまち,ふたば,Futaba,Hutaba
浪江町,なみえまち,なみえ,Namie,Namie
葛尾村,かつらおむら,かつらお,Katsurao,Katurao
相馬郡,そうまぐん,そうま,Soma,Soma
新地町,しんちまち,しんち,Shinchi,Sinti
飯舘村,いいたてむら,いいたて,Iitate,Iitate
茨城県,いばらきけん,いばらき,Ibaraki,Ibaraki
水戸市,みとし,みと,Mito,Mito
日立市,ひたちし,ひたち,Hitachi,Hitati
土浦市,つちうらし,つちうら,Tsuchiura,Tutiura
古河市,こがし,こが,Koga,Koga
石岡市,いしおかし,いしおか,Ishioka,Isioka
結城市,ゆうきし,ゆうき,Yuki,Yuki
龍ヶ崎市,りゅうがさきし,りゅうがさき,Ryugasaki,Ryugasaki
下妻市,しもつまし,しもつま,Shimotsuma,Simotuma
常総市,じょうそうし,じょうそう,Joso,Zyoso
常陸太田市,ひたちおおたし,ひたちおおた,Hitachiota,Hitatiota
高萩市,たかはぎし,たかはぎ,Takahagi,Takahagi
北茨城市,きたいばらきし,きたいばらき,Kitaibaraki,Kitaibaraki
笠間市,かさまし,かさま,Kasama,Kasama
取手市,とりでし,とりで,Toride,Toride
牛久市,うしくし,うしく,Ushiku,Usiku
つくば市,つくばし,つくば,Tsukuba,Tukuba
ひたちなか市,ひたちなかし,ひたちなか,Hitachinaka,Hitatinaka
鹿嶋市,かしまし,かしま,Kashima,Kasima
潮来市,いたこし,いたこ,Itako,Itako
守谷市,もりやし,もりや,Moriya,Moriya
常陸大宮市,ひたちおおみやし,ひたちおおみや,Hitachiomiya,Hitatiomiya
那珂市,なかし,なか,Naka,Naka
筑西市,ちくせいし,ちくせい,Chikusei,Tikusei
坂東市,ばんどうし,ばんどう,Bando,Bando
稲敷市,いなしきし,いなしき,Inashiki,Inasiki
かすみがうら市,かすみがうらし,かすみがうら,Kasumigaura,Kasumigaura
桜川市,さくらがわし,さくらがわ,Sakuragawa,Sakuragawa
神栖市,かみすし,かみす,Kamisu,Kamisu
行方市,なめがたし,なめがた,Namegata,Namegata
鉾田市,ほこたし,ほこた,Hokota,Hokota
つくばみらい市,つくばみらいし,つくばみらい,Tsukubamirai,Tukubamirai
小美玉市,おみたまし,おみたま,Omitama,Omitama
東茨城郡,ひがしいばらきぐん,ひがしいばらき,Higashiibaraki,Higasiibaraki
茨城町,いばらきまち,いばらき,Ibaraki,Ibaraki
大洗町,おおあらいまち,おおあらい,oarai,oarai
城里町,しろさとまち,しろさと,Shirosato,Sirosato
那珂郡,なかぐん,なか,Naka,Naka
東海村,とうかいむら,とうかい,Tokai,Tokai
久慈郡,くじぐん,くじ,Kuji,Kuzi
大子町,だいごまち,だいご,Daigo,Daigo
稲敷郡,いなしきぐん,いなしき,Inashiki,Inasiki
美浦村,みほむら,みほ,Miho,Miho
阿見町,あみまち,あみ,Ami,Ami
河内町,かわちまち,かわち,Kawachi,Kawati
結城郡,ゆうきぐん,ゆうき,Yuki,Yuki
八千代町,やちよまち,やちよ,Yachiyo,Yatiyo
猿島郡,さしまぐん,さしま,Sashima,Sasima
五霞町,ごかまち,ごか,Goka,Goka
境町,さかいまち,さかい,Sakai,Sakai
北相馬郡,きたそうまぐん,きたそうま,Kitasoma,Kitasoma
利根町,とねまち,とね,Tone,Tone
栃木県,とちぎけん,とちぎ,Tochigi,Totigi
宇都宮市,うつのみやし,うつのみや,Utsunomiya,Utunomiya
足利市,あしかがし,あしかが,Ashikaga,Asikaga
栃木市,とちぎし,とちぎ,Tochigi,Totigi
佐野市,さのし,さの,Sano,Sano
鹿沼市,かぬまし,かぬま,Kanuma,Kanuma
日光市,にっこうし,にっこう,Nikko,Nikko
小山市,おやまし,おやま,Oyama,Oyama
真岡市,もおかし,もおか,Moka,Moka
大田原市,おおたわらし,おおたわら,otawara,otawara
矢板市,やいたし,やいた,Yaita,Yaita
那須塩原市,なすしおばらし,なすしおばら,Nasushiobara,Nasusiobara
さくら市,さくらし,さくら,Sakura,Sakura
那須烏山市,なすからすやまし,なすからすやま,Nasukarasuyama,Nasukarasuyama
下野市,しもつけし,しもつけ,Shimotsuke,Simotuke
河内郡,かわちぐん,かわち,Kawachi,Kawati
上三川町,かみのかわまち,かみのかわ,Kaminokawa,Kaminokawa
芳賀郡,はがぐん,はが,Haga,Haga
益子町,ましこまち,ましこ,Mashiko,Masiko
茂木町,もてぎまち,もてぎ,Motegi,Motegi
市貝町,いちかいまち,いちかい,Ichikai,Itikai
芳賀町,はがまち,はが,Haga,Haga
下都賀郡,しもつがぐん,しもつが,Shimotsuga,Simotuga
壬生町,みぶまち,みぶ,Mibu,Mibu
野木町,のぎまち,のぎ,Nogi,Nogi
岩舟町,いわふねまち,いわふね,Iwafune,Iwahune
塩谷郡,しおやぐん,しおや,Shioya,Sioya
塩谷町,しおやまち,しおや,Shioya,Sioya
高根沢町,たかねざわまち,たかねざわ,Takanezawa,Takanezawa
那須郡,なすぐん,なす,Nasu,Nasu
那須町,なすまち,なす,Nasu,Nasu
那珂川町,なかがわまち,なかがわ,Nakagawa,Nakagawa
群馬県,ぐんまけん,ぐんま,Gunma,Gunma
前橋市,まえばしし,まえばし,Maebashi,Maebasi
高崎市,たかさきし,たかさき,Takasaki,Takasaki
桐生市,きりゅうし,きりゅう,Kiryu,Kiryu
伊勢崎市,いせさきし,いせさき,Isesaki,Isesaki
太田市,おおたし,おおた,ota,ota
沼田市,ぬまたし,ぬまた,Numata,Numata
館林市,たてばやしし,たてばやし,Tatebayashi,Tatebayasi
渋川市,しぶかわし,しぶかわ,Shibukawa,Sibukawa
藤岡市,ふじおかし,ふじおか,Fujioka,Huzioka
富岡市,とみおかし,とみおか,Tomioka,Tomioka
安中市,あんなかし,あんなか,Annaka,Annaka
みどり市,みどりし,みどり,Midori,Midori
北群馬郡,きたぐんまぐん,きたぐんま,Kitagunma,Kitagunma
榛東村,しんとうむら,しんとう,Shinto,Sinto
吉岡町,よしおかまち,よしおか,Yoshioka,Yosioka
多野郡,たのぐん,たの,Tano,Tano
上野村,うえのむら,うえの,Ueno,Ueno
神流町,かんなまち,かんな,Kanna,Kanna
甘楽郡,かんらぐん,かんら,Kanra,Kanra
下仁田町,しもにたまち,しもにた,Shimonita,Simonita
南牧村,なんもくむら,なんもく,Nanmoku,Nanmoku
甘楽町,かんらまち,かんら,Kanra,Kanra
吾妻郡,あがつまぐん,あがつま,Agatsuma,Agatuma
中之条町,なかのじょうまち,なかのじょう,Nakanojo,Nakanozyo
長野原町,ながのはらまち,ながのはら,Naganohara,Naganohara
嬬恋村,つまごいむら,つまごい,Tsumagoi,Tumagoi
草津町,くさつまち,くさつ,Kusatsu,Kusatu
高山村,たかやまむら,たかやま,Takayama,Takayama
東吾妻町,ひがしあがつままち,ひがしあがつま,Higashiagatsuma,Higasiagatuma
利根郡,とねぐん,とね,Tone,Tone
片品村,かたしなむら,かたしな,Katashina,Katasina
川場村,かわばむら,かわば,Kawaba,Kawaba
昭和村,しょうわむら,しょうわ,Showa,Syowa
みなかみ町,みなかみまち,みなかみ,Minakami,Minakami
佐波郡,さわぐん,さわ,Sawa,Sawa
玉村町,たまむらまち,たまむら,Tamamura,Tamamura
邑楽郡,おうらぐん,おうら,ora,ora
板倉町,いたくらまち,いたくら,Itakura,Itakura
明和町,めいわまち,めいわ,Meiwa,Meiwa
千代田町,ちよだまち,ちよだ,Chiyoda,Tiyoda
大泉町,おおいずみまち,おおいずみ,oizumi,oizumi
邑楽町,おうらまち,おうら,ora,ora
埼玉県,さいたまけん,さいたま,Saitama,Saitama
さいたま市,さいたまし,さいたま,Saitama,Saitama
西区,にしく,にし,Nishi,Nisi
北区,きたく,きた,Kita,Kita
大宮区,おおみやく,おおみや,omiya,omiya
見沼区,みぬまく,みぬま,Minuma,Minuma
中央区,ちゅうおうく,ちゅうおう,Chuo,Tyuo
桜区,さくらく,さくら,Sakura,Sakura
浦和区,うらわく,うらわ,Urawa,Urawa
南区,みなみく,みなみ,Minami,Minami
緑区,みどりく,みどり,Midori,Midori
岩槻区,いわつきく,いわつき,Iwatsuki,Iwatuki
川越市,かわごえし,かわごえ,Kawagoe,Kawagoe
熊谷市,くまがやし,くまがや,Kumagaya,Kumagaya
川口市,かわぐちし,かわぐち,Kawaguchi,Kawaguti
行田市,ぎょうだし,ぎょうだ,Gyoda,Gyoda
秩父市,ちちぶし,ちちぶ,Chichibu,Titibu
所沢市,ところざわし,ところざわ,Tokorozawa,Tokorozawa
飯能市,はんのうし,はんのう,Hanno,Hanno
加須市,かぞし,かぞ,Kazo,Kazo
本庄市,ほんじょうし,ほんじょう,Honjo,Honzyo
東松山市,ひがしまつやまし,ひがしまつやま,Higashimatsuyama,Higasimatuyama
春日部市,かすかべし,かすかべ,Kasukabe,Kasukabe
狭山市,さやまし,さやま,Sayama,Sayama
羽生市,はにゅうし,はにゅう,Hanyu,Hanyu
鴻巣市,こうのすし,こうのす,Konosu,Konosu
深谷市,ふかやし,ふかや,Fukaya,Hukaya
上尾市,あげおし,あげお,Ageo,Ageo
草加市,そうかし,そうか,Soka,Soka
越谷市,こしがやし,こしがや,Koshigaya,Kosigaya
蕨市,わらびし,わらび,Warabi,Warabi
戸田市,とだし,とだ,Toda,Toda
入間市,いるまし,いるま,Iruma,Iruma
朝霞市,あさかし,あさか,Asaka,Asaka
志木市,しきし,しき,Shiki,Siki
和光市,わこうし,わこう,Wako,Wako
新座市,にいざし,にいざ,Niiza,Niiza
桶川市,おけがわし,おけがわ,Okegawa,Okegawa
久喜市,くきし,くき,Kuki,Kuki
北本市,きたもとし,きたもと,Kitamoto,Kitamoto
八潮市,やしおし,やしお,Yashio,Yasio
富士見市,ふじみし,ふじみ,Fujimi,Huzimi
三郷市,みさとし,みさと,Misato,Misato
蓮田市,はすだし,はすだ,Hasuda,Hasuda
坂戸市,さかどし,さかど,Sakado,Sakado
幸手市,さってし,さって,Satte,Satte
鶴ヶ島市,つるがしまし,つるがしま,Tsurugashima,Turugasima
日高市,ひだかし,ひだか,Hidaka,Hidaka
吉川市,よしかわし,よしかわ,Yoshikawa,Yosikawa
ふじみ野市,ふじみのし,ふじみの,Fujimino,Huzimino
白岡市,しらおかし,しらおか,Shiraoka,Siraoka
北足立郡,きたあだちぐん,きたあだち,Kitaadachi,Kitaadati
伊奈町,いなまち,いな,Ina,Ina
入間郡,いるまぐん,いるま,Iruma,Iruma
三芳町,みよしまち,みよし,Miyoshi,Miyosi
毛呂山町,もろやままち,もろやま,Moroyama,Moroyama
越生町,おごせまち,おごせ,Ogose,Ogose
比企郡,ひきぐん,ひき,Hiki,Hiki
滑川町,なめがわまち,なめがわ,Namegawa,Namegawa
嵐山町,らんざんまち,らんざん,Ranzan,Ranzan
小川町,おがわまち,おがわ,Ogawa,Ogawa
川島町,かわじままち,かわじま,Kawajima,Kawazima
吉見町,よしみまち,よしみ,Yoshimi,Yosimi
鳩山町,はとやままち,はとやま,Hatoyama,Hatoyama
ときがわ町,ときがわまち,ときがわ,Tokigawa,Tokigawa
秩父郡,ちちぶぐん,ちちぶ,Chichibu,Titibu
横瀬町,よこぜまち,よこぜ,Yokoze,Yokoze
皆野町,みなのまち,みなの,Minano,Minano
長瀞町,ながとろまち,ながとろ,Nagatoro,Nagatoro
小鹿野町,おがのまち,おがの,Ogano,Ogano
東秩父村,ひがしちちぶむら,ひがしちちぶ,Higashichichibu,Higasititibu
児玉郡,こだまぐん,こだま,Kodama,Kodama
